mesh_size,alpha_RA,beta_RA,m_lb,eps_orig,eps_reclaimed,verecycle_time_s,formula_absdiff,Xq_low0,Xq_low1,Xq_high0,Xq_high1
0.05,1.9203341007232666,37.7794075012207,2.4448297023773193,0.9491698195462378,0.21453257097786416,0.0033025999982783105,0.0,-9.0,-2.0,-7.0,-1.0
0.02,1.8642970323562622,37.792930603027344,2.4955430030822754,0.9506707470786369,0.2529493460727199,0.012562799998704577,0.0,-9.0,-2.0,-7.0,-1.0
0.01,1.8457388877868652,37.79745864868164,2.5126028060913086,0.9511676458213085,0.2654076150387812,0.049174400002812035,0.0,-9.0,-2.0,-7.0,-1.0
0.005,1.8364840745925903,37.79972839355469,2.5211634635925293,0.9514154161249018,0.27157278728143464,0.21295240000108606,0.0,-9.0,-2.0,-7.0,-1.0
